action {'piece': 'RR', 'position': (3, 7)}
action {'piece': 'RC', 'position': (5, 2)}
action {'piece': 'GC', 'position': (3, 6)}
action {'piece': 'GR', 'position': (7, 5)}
action {'piece': 'YR', 'position': (4, 6)}
action {'piece': 'YC', 'position': (4, 5)}
action {'piece': 'RC', 'position': (4, 3)}
action {'piece': 'GR', 'position': (5, 7)}
action {'piece': 'GR', 'position': (6, 6)}
action {'piece': 'RC', 'position': (5, 4)}
action {'piece': 'RR', 'position': (3, 5)}
action {'piece': 'RC', 'position': (4, 5)}
action {'piece': 'GC', 'position': (4, 1)}
action {'piece': 'BC', 'position': (2, 3)}
action {'piece': 'BC', 'position': (3, 2)}
action {'piece': 'GR', 'position': (6, 2)}
action {'piece': 'BC', 'position': (1, 4)}
action {'piece': 'YC', 'position': (2, 3)}
action {'piece': 'YR', 'position': (3, 3)}
action {'piece': 'YC', 'position': (3, 2)}
action {'piece': 'YR', 'position': (5, 3)}
action {'piece': 'YC', 'position': (1, 4)}
action {'piece': 'RR', 'position': (3, 1)}
action {'piece': 'GR', 'position': (2, 6)}
action {'piece': 'GC', 'position': (2, 5)}
action {'piece': 'GR', 'position': (8, 4)}
action {'piece': 'BR', 'position': (3, 1)}
action {'piece': 'RC', 'position': (7, 4)}
action {'piece': 'GC', 'position': (6, 5)}
action {'piece': 'BC', 'position': (5, 6)}
action {'piece': 'BC', 'position': (4, 7)}
action {'piece': 'YC', 'position': (5, 6)}
action {'piece': 'YR', 'position': (5, 1)}
action {'piece': 'RR', 'position': (2, 4)}
action {'piece': 'RR', 'position': (6, 4)}
action {'piece': 'GR', 'position': (4, 0)}
action {'piece': 'GC', 'position': (6, 3)}
action {'piece': 'YR', 'position': (7, 3)}
action {'piece': 'RR', 'position': (5, 5)}
action {'piece': 'GR', 'position': (1, 3)}
action {'piece': 'BR', 'position': (5, 5)}
action {'piece': 'YR', 'position': (2, 2)}
action {'piece': 'GC', 'position': (5, 2)}
action {'piece': 'GR', 'position': (0, 4)}
action {'piece': 'BR', 'position': (5, 3)}
action {'piece': 'GC', 'position': (4, 3)}
action {'piece': 'BC', 'position': (3, 4)}
action {'piece': 'YR', 'position': (7, 5)}
action {'piece': 'GR', 'position': (1, 5)}
action {'piece': 'YR', 'position': (5, 7)}
action {'piece': 'GR', 'position': (4, 4)}
action {'piece': 'YR', 'position': (6, 6)}
action {'piece': 'GC', 'position': (5, 4)}
action {'piece': 'GR', 'position': (4, 8)}
action {'piece': 'GC', 'position': (4, 5)}
action {'piece': 'RR', 'position': (4, 2)}
action {'piece': 'BR', 'position': (5, 1)}
action {'piece': 'GR', 'position': (3, 7)}
action {'piece': 'BR', 'position': (4, 2)}
action {'piece': 'BR', 'position': (7, 3)}
action {'piece': 'YR', 'position': (6, 2)}
action {'piece': 'GR', 'position': (3, 5)}
action {'piece': 'RR', 'position': (4, 6)}
action {'piece': 'GC', 'position': (7, 4)}
action {'piece': 'YR', 'position': (2, 6)}
action {'piece': 'GC', 'position': (3, 2)}
action {'piece': 'BC', 'position': (3, 6)}
action {'piece': 'RC', 'position': (2, 3)}
action {'piece': 'BR', 'position': (4, 6)}
action {'piece': 'BR', 'position': (7, 5)}
action {'piece': 'YR', 'position': (8, 4)}
action {'piece': 'RC', 'position': (3, 2)}
action {'piece': 'YC', 'position': (3, 6)}
action {'piece': 'RC', 'position': (1, 4)}
action {'piece': 'BR', 'position': (6, 6)}
action {'piece': 'YC', 'position': (4, 7)}
action {'piece': 'GR', 'position': (3, 1)}
action {'piece': 'YR', 'position': (4, 0)}
action {'piece': 'RC', 'position': (5, 6)}
action {'piece': 'RR', 'position': (3, 3)}
action {'piece': 'BC', 'position': (4, 1)}
action {'piece': 'RR', 'position': (5, 3)}
action {'piece': 'RC', 'position': (4, 7)}
action {'piece': 'YR', 'position': (1, 3)}
action {'piece': 'BR', 'position': (3, 3)}
